Schema updated: 48 columns ready
Reportes a procesar: 376
Modelo: gpt-4o-mini
Costo estimado: ~$0.38 USD

[1/376] whizz-kids-sroi-march-2011 → ratio=10 | sector=discapacidad | país=UK | conf=media
[264/376] constructing-equality-liverpool-pride-sroi-2014 → ratio=None | sector=inclusion_social | país=UK | conf=media
[265/376] inspiring-futures-volunteering-for-wellbeing-year-1-exe → ratio=8.78 | sector=salud | país=UK | conf=alta
[266/376] cufa-social-return-on-investment-report-2014 → ratio=8.07 | sector=microfinanzas | país=Australia | conf=alta
[267/376] an-evidence-based-report-on-the-economic-impact-of-weav → ratio=None | sector=vivienda | país=UK | conf=media
[268/376] the-social-value-of-solar-lights-in-africa-to-replace-t → ratio=None | sector=medio_ambiente | país=Africa | conf=None
[269/376] an-evaluation-of-stick-n-step-charity-in-wirral-merseys → ratio=4.89 | sector=discapacidad | país=UK | conf=alta
[270/376] impact-report-the-savoy → ratio=None | sector=vivienda | país=USA | conf=media
[271/376] making-a-difference-for-children-and-families-home-star → ratio=None | sector=infancia_juventud | país=UK | conf=media
[272/376] manor-house-development-trust-social-return-on-investme → ratio=2.51 | sector=medio_ambiente | país=UK | conf=alta
[273/376] communities-in-schools-of-mid-america-at-tulsa-impact-r → ratio=None | sector=educacion | país=USA | conf=None
[274/376] the-troubled-families-programme-a-process-impact-and-so → ratio=None | sector=inclusion_social | país=UK | conf=media
[275/376] the-sleeping-giant-a-social-return-on-investment-report → ratio=None | sector=None | país=Australia | conf=None
[276/376] the-social-inclusion-value-of-buses-marchwood → ratio=None | sector=inclusion_social | país=UK | conf=media
[277/376] measuring-the-size-and-scope-of-the-voluntary-and-commu → ratio=None | sector=otro | país=UK | conf=media
[278/376] people-helping-people-the-future-of-public-services → ratio=None | sector=inclusion_social | país=UK | conf=alta
[279/376] real-lettings-property-social-impact-report-201415 → ratio=None | sector=vivienda | país=UK | conf=alta
[280/376] bikespace-social-impact-report-2015 → ratio=None | sector=infancia_juventud | país=UK | conf=media
[281/376] pohwer-community-advocacy-impact-report → ratio=None | sector=inclusion_social | país=UK | conf=media
[282/376] the-dame-kelly-holmes-trust-impact-report-20142015 → ratio=3.7 | sector=inclusion_social | país=UK | conf=alta
[283/376] value-in-private-equity-where-social-meets-shareholder → ratio=None | sector=inclusion_social | país=UK | conf=alta
[284/376] bromford-social-value-report-2015 → ratio=9.49 | sector=vivienda | país=UK | conf=media
[285/376] belu-impact-report-2015 → ratio=None | sector=medio_ambiente | país=UK | conf=alta
[286/376] achieving-schools-social-impact-assessment → ratio=None | sector=educacion | país=None | conf=alta
[287/376] accsys-technologies-plc-impact-report → ratio=None | sector=None | país=None | conf=None
[288/376] the-aspen-intitute-alliance-for-artisan-enterprise-impa → ratio=None | sector=empleo | país=USA | conf=alta
[289/376] mybnk-impact-report-2013-14 → ratio=None | sector=educacion | país=UK | conf=alta
[290/376] key-fund-social-impact-report-2015 → ratio=None | sector=inclusion_social | país=UK | conf=baja
[291/376] the-impact-of-long-term-engagement-on-empowerment-behav → ratio=None | sector=salud | país=UK | conf=alta
[292/376] social-impact-study-craft-employment-opportunities-a-re → ratio=None | sector=empleo | país=UK | conf=alta
[293/376] shared-interest-social-accounts-for-the-year-ended-30-s → ratio=None | sector=microfinanzas | país=None | conf=alta
[294/376] social-enterprise-kent-social-impact-report-2013-14 → ratio=None | sector=inclusion_social | país=UK | conf=alta
[295/376] pilotlight-impact-2015 → ratio=None | sector=inclusion_social | país=UK | conf=alta
[296/376] school-home-support-impact-report-201415 → ratio=None | sector=educacion | país=UK | conf=media
[297/376] enabling-enterprise-impact-report-2014 → ratio=2 | sector=educacion | país=UK | conf=alta
[298/376] solaraid-impact-report-autumn-2015 → ratio=None | sector=medio_ambiente | país=Africa | conf=alta
[299/376] tottenham-hotspur-foundation-201415-social-audit-and-im → ratio=7 | sector=deporte | país=UK | conf=alta
[300/376] the-value-of-return-home-interviews-and-follow-up-suppo → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[301/376] counting-on-uncertainty-the-economic-case-for-community → ratio=None | sector=medio_ambiente | país=Kenya | conf=None
[302/376] cost-benefit-analysis-for-a-minimum-standard-for-rental → ratio=None | sector=vivienda | país=Nueva Zelanda | conf=alta
[303/376] cost-benefit-analysis-for-crime-prevention-opportunity- → ratio=None | sector=justicia | país=None | conf=None
[304/376] demonstrating-the-benefits-of-early-response-cash-ofr-w → ratio=None | sector=empleo | país=Burkina Faso, Chad, Mauritania, Niger | conf=alta
[305/376] measuring-impact-and-cost-benefit-a-sudanese-case-study → ratio=None | sector=salud | país=Sudan | conf=alta
[306/376] cost-benefit-study-of-disaster-risk-mitigation-measures → ratio=None | sector=medio_ambiente | país=Maldives | conf=alta
[307/376] disaster-preparedness-programmes-in-india-a-cost-benefi → ratio=None | sector=otro | país=India | conf=baja
[308/376] cost-benefit-analysis-for-community-based-disaster-risk → ratio=None | sector=medio_ambiente | país=Nepal | conf=alta
[309/376] social-cost-benefit-analysis-of-delhi-metro → ratio=None | sector=medio_ambiente | país=India | conf=media
[310/376] a-cost-benefit-analysis-of-deforestation-on-the-brazili → ratio=None | sector=medio_ambiente | país=Brasil | conf=alta
[311/376] a-cost-benefit-analysis-of-practical-actions-livelihood → ratio=1.13 | sector=medio_ambiente | país=Nepal | conf=alta
[312/376] investing-in-communities-the-benefits-and-costs-of-buil → ratio=None | sector=agricultura | país=Malawi | conf=media
[313/376] a-cost-benefit-analysis-of-the-new-orleans-flood-protec → ratio=None | sector=medio_ambiente | país=USA | conf=alta
[314/376] costs-and-benefits-of-flood-mitigation-in-the-lower-bag → ratio=None | sector=medio_ambiente | país=Nepal, India | conf=media
[315/376] assessing-quality-and-cost-benefit-a-philippines-case-s → ratio=None | sector=otro | país=Philippines | conf=None
[316/376] mitigation-of-food-wastage-societal-costs-and-benefits → ratio=None | sector=medio_ambiente | país=None | conf=alta
[317/376] the-long-road-to-resilience-impact-and-cost-benefit-ana → ratio=None | sector=otro | país=Bangladesh | conf=media
[318/376] pricing-the-priceless-cost-benefit-analysis-of-environm → ratio=None | sector=medio_ambiente | país=USA | conf=?
[319/376] the-cost-benefit-analysis-of-the-preschool-curriculum-c → ratio=None | sector=educacion | país=USA | conf=None
[320/376] partnerships-for-change-a-cost-benefit-analysis-of-self → ratio=None | sector=inclusion_social | país=Ethiopia | conf=media
[321/376] evaluating-costs-and-benefits-of-flood-reduction-under- → ratio=None | sector=medio_ambiente | país=Pakistan | conf=alta
[322/376] fiji-technical-report-an-economic-analysis-of-flood-war → ratio=None | sector=medio_ambiente | país=Fiji | conf=alta
[323/376] samoa-technical-report-economic-analysis-of-flood-risk- → ratio=None | sector=medio_ambiente | país=Samoa | conf=media
[324/376] a-social-cost-benefit-analysis-of-the-rural-social-sche → ratio=2.89 | sector=inclusion_social | país=Irlanda | conf=alta
[325/376] evaluating-costs-and-benefits-of-flood-reduction-under- → ratio=1 | sector=medio_ambiente | país=India | conf=alta
[326/376] costs-and-benefits-of-early-warning-systems → ratio=None | sector=None | país=None | conf=None
[327/376] recycling-cost-benefit-analysis → ratio=None | sector=medio_ambiente | país=Nueva Zelanda | conf=alta
[328/376] assessing-the-costs-and-benefits-of-adaptation-options- → ratio=None | sector=medio_ambiente | país=None | conf=None
[329/376] standing-council-on-environment-and-water-cost-benefit- → ratio=None | sector=medio_ambiente | país=Australia | conf=media
[330/376] stakeholder-focused-cost-benefit-analysis-in-the-water- → ratio=None | sector=medio_ambiente | país=UK | conf=media
[331/376] assessing-the-social-costs-and-benefits-of-regulating-c → ratio=None | sector=medio_ambiente | país=USA | conf=alta
[332/376] a-social-cost-benefit-analysis-of-an-electric-vehicle → ratio=None | sector=medio_ambiente | país=Dinamarca | conf=alta
[333/376] a-social-cost-benefit-analysis-early-intervention-progr → ratio=None | sector=infancia_juventud | país=Australia | conf=alta
[334/376] the-economics-of-early-response-and-disaster-resilience → ratio=None | sector=None | país=Ethiopia | conf=alta
[335/376] uttar-pradesh-drought-cost-benefit-analysis → ratio=None | sector=agricultura | país=India | conf=media
[336/376] impact-assessment-a-report-on-the-woodcraft-folk-in-sct → ratio=None | sector=infancia_juventud | país=Scotland | conf=None
[337/376] managing-uncertainty-an-economic-evaluation-of-communit → ratio=None | sector=medio_ambiente | país=Niger | conf=None
[338/376] forgotten-families-the-impact-of-isolation-on-families- → ratio=None | sector=discapacidad | país=UK | conf=media
[339/376] greasy-palms-the-social-and-ecological-impacts-of-large → ratio=None | sector=medio_ambiente | país=Southeast Asia | conf=alta
[340/376] girls-friendly-society-annual-review-2013 → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[341/376] the-health-impacts-of-cold-homes-and-fuel-poverty → ratio=None | sector=salud | país=UK | conf=alta
[342/376] social-investment-scotland-our-social-impact-2 → ratio=None | sector=inclusion_social | país=Scotland | conf=alta
[343/376] national-evaluation-of-flying-start-impact-report → ratio=None | sector=infancia_juventud | país=Wales | conf=alta
[344/376] estimating-the-costs-of-child-poverty-in-2013 → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[345/376] estimating-the-costs-of-child-poverty → ratio=None | sector=infancia_juventud | país=UK | conf=alta
[346/376] social-valuation-of-resident-support-services-newlon-fu → ratio=None | sector=empleo | país=UK | conf=alta
[347/376] student-contributions-to-the-uk-economy → ratio=None | sector=educacion | país=UK | conf=alta
[348/376] building-bridges-an-evaluation-and-social-return-on-inv → ratio=2.8 | sector=justicia | país=Ireland | conf=alta
[349/376] investing-in-culture-and-community-the-social-return-on → ratio=None | sector=empleo | país=UK | conf=None
[350/376] making-a-difference-the-social-impact-of-brigade → ratio=1.57 | sector=empleo | país=UK | conf=alta
[351/376] alabama-legal-aid-social-return-on-investment → ratio=None | sector=justicia | país=USA | conf=media
[352/376] iniziative-di-microcredito-e-microfinanza-a-favore-dell → ratio=None | sector=microfinanzas | país=Italia | conf=baja
[353/376] the-local-food-programme-a-social-return-on-investment- → ratio=None | sector=agricultura | país=UK | conf=alta
[354/376] football-foundation-sroi-analysis-and-extra-time → ratio=None | sector=personas_mayores | país=UK | conf=alta
[355/376] survivors-manchester-sroi-report → ratio=None | sector=inclusion_social | país=UK | conf=alta
[356/376] sroi-evaluation-analysis-ahdaaf-project → ratio=1.98 | sector=deporte | país=Emiratos Árabes Unidos | conf=media
[357/376] introduction-to-supported-employment → ratio=None | sector=empleo | país=Canada | conf=alta
[358/376] measuring-social-value-creation-at-saipems-karimun-isla → ratio=None | sector=otro | país=Indonesia | conf=media
[359/376] region-of-waterloo-step-home-sroi-roll-up-report → ratio=None | sector=vivienda | país=Canada | conf=alta
[360/376] summary-and-extracts-from-edinburgh-leisures-social-ret → ratio=3.61 | sector=deporte | país=UK | conf=alta
[361/376] an-sroi-report-from-the-social-resources-institute-in-c → ratio=None | sector=otro | país=China | conf=media
[362/376] the-social-return-of-real-jobs-summary → ratio=None | sector=empleo | país=UK | conf=alta
[363/376] womens-support-network-wsn-sroi-pilot-reports → ratio=None | sector=infancia_juventud | país=UK | conf=media
[364/376] forecast-sroi-report-of-excited-ed-cic-activities → ratio=None | sector=educacion | país=UK | conf=alta
[365/376] foundation-east-sroi → ratio=3.79 | sector=inclusion_social | país=UK | conf=alta
[366/376] the-value-of-shoreditch-trusts-blue-marble-training-2 → ratio=None | sector=empleo | país=UK | conf=media
[367/376] gentoo-living-young-persons-supported-housing-service-s → ratio=None | sector=vivienda | país=UK | conf=alta
[368/376] adult-and-community-learning-fund-forecast-of-sroi-of-s → ratio=None | sector=salud | país=UK | conf=media
[369/376] measuring-the-value-created-by-auckland-museums-moana-m → ratio=None | sector=arte_cultura | país=Nueva Zelanda | conf=alta
[370/376] mayors-music-fund-for-young-londoners-impact-report-201 → ratio=None | sector=arte_cultura | país=UK | conf=alta
[371/376] skillforce-social-impact-report-2014-2 → ratio=None | sector=educacion | país=UK | conf=None
[372/376] calvert-foundation-2014-social-impact-report → ratio=None | sector=otro | país=USA | conf=alta
[373/376] westminster-befriend-a-family-social-impact-evaluation- → ratio=None | sector=inclusion_social | país=UK | conf=alta
[374/376] cost-analysis-of-anne-arundel-county-maryland-drug-cour → ratio=None | sector=justicia | país=USA | conf=alta
[375/376] cost-benefit-analysis-of-raising-the-age-of-juvenile-ju → ratio=None | sector=justicia | país=USA | conf=alta
[376/376] 9541 → ratio=None | sector=salud | país=European Union | conf=media

Completo: 376 procesados | 0 errores

=======================================================
META-ANÁLISIS SROI — 376 REPORTES PROCESADOS
=======================================================

Por sector:
  inclusion_social          n= 64  ratio_promedio=4.42
  infancia_juventud         n= 53  ratio_promedio=8.36
  medio_ambiente            n= 46  ratio_promedio=4.71
  vivienda                  n= 40  ratio_promedio=4.84
  educacion                 n= 32  ratio_promedio=8.58
  empleo                    n= 31  ratio_promedio=57.27
  salud                     n= 16  ratio_promedio=8.82
  justicia                  n= 16  ratio_promedio=4.6
  otro                      n= 14  ratio_promedio=10.0
  discapacidad              n= 13  ratio_promedio=6.56
  personas_mayores          n= 10  ratio_promedio=3.32
  microfinanzas             n= 10  ratio_promedio=5.09
  agricultura               n=  8  ratio_promedio=12.39
  arte_cultura              n=  6  ratio_promedio=N/A
  deporte                   n=  4  ratio_promedio=4.2
  seguridad_vial            n=  1  ratio_promedio=N/A
  bienestar                 n=  1  ratio_promedio=N/A

Por país (top 10):
  UK                   n=221
  Canada               n=26
  Australia            n=22
  USA                  n=18
  Scotland             n=8
  India                n=7
  Austria              n=7
  Nueva Zelanda        n=4
  Kenya                n=3
  Ireland              n=3

Factores de impacto (promedios):
Traceback (most recent call last):
  File "/Users/jcmunoz/Library/CloudStorage/OneDrive-UniversidadEAFIT/Agents_JC/SROI/scripts/04_extract_meta_analysis.py", line 460, in <module>
    main()
    ~~~~^^
  File "/Users/jcmunoz/Library/CloudStorage/OneDrive-UniversidadEAFIT/Agents_JC/SROI/scripts/04_extract_meta_analysis.py", line 439, in main
    print_stats(conn)
    ~~~~~~~~~~~^^^^^^
  File "/Users/jcmunoz/Library/CloudStorage/OneDrive-UniversidadEAFIT/Agents_JC/SROI/scripts/04_extract_meta_analysis.py", line 336, in print_stats
    row = conn.execute("""
          ~~~~~~~~~~~~^^^^
        SELECT
        ^^^^^^
    ...<5 lines>...
        FROM reports WHERE meta_extracted=1
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    """).fetchone()
    ^^^^
sqlite3.OperationalError: near "drop": syntax error
