id,titulo,organizacion,tipo_org,sector,subsector,pais_contexto,año,idioma,tipo_documento,nivel_toc,url,url_pdf,descripcion,palabras_clave,estado_descarga
50,CLACSO — Teoría y cambio social en América Latina (Boletín GT),CLACSO,Red académica,Metodologia,Cambio social en América Latina,América Latina,2020,ES,Boletín académico,Marco general,https://www.clacso.org/wp-content/uploads/2020/12/V2_Teoria-y-cambio-social_N3.pdf,https://www.clacso.org/wp-content/uploads/2020/12/V2_Teoria-y-cambio-social_N3.pdf,Boletín del Grupo de Trabajo CLACSO sobre Teoría Social y Realidad Latinoamericana. Perspectivas críticas sobre teoría del cambio social desde el Sur Global.,"teoría del cambio, cambio social, América Latina, CLACSO, Sur Global",pendiente
51,Oxfam — Theory of Change (Organizational),Oxfam International,ONG Internacional,Desarrollo Internacional,Reducción de pobreza y desigualdad,Global,2016,EN,Documento estratégico,Institucional / organizacional,https://policy-practice.oxfam.org/resources/oxfams-theory-of-change-620063/,,"ToC organizacional de Oxfam. Conecta trabajo de humanitarian response, desarrollo y advocacy con reducción de pobreza y desigualdad sistémica. Ampliamente referenciada.","theory of change, Oxfam, poverty, inequality, humanitarian, advocacy",pendiente
52,Save the Children — Theory of Change,Save the Children,ONG Internacional,Desarrollo Internacional,Derechos del niño,Global,2022,EN,Documento estratégico,Institucional / organizacional,https://www.savethechildren.org/us/what-we-do/our-work/theory-of-change,,"ToC de Save the Children que conecta programas de protección, educación y salud infantil con derechos del niño. Incluye ejes de supervivencia, aprendizaje y protección.","theory of change, children, rights, Save the Children, education, health",pendiente
53,Comic Relief — Theory of Change,Comic Relief,Fundación UK,Desarrollo Internacional,Reducción de pobreza y desigualdad,UK/Global,2021,EN,Marco de impacto,Institucional / organizacional,https://www.comicrelief.com/our-impact/theory-of-change,,"ToC de Comic Relief integrada con su Impact Framework. Incluye áreas de bienestar mental, seguridad económica y justicia climática.","theory of change, Comic Relief, poverty, UK, mental health, climate justice",pendiente
54,Big Lottery Fund (National Lottery Community Fund) — Theory of Change Guide,The National Lottery Community Fund,Financiador UK,Metodologia,Desarrollo comunitario,UK,2019,EN,Guía para grantees,Marco general,https://www.tnlcommunityfund.org.uk/funding/funding-guidance/theory-of-change,,Guía de la National Lottery Community Fund para que sus grantees desarrollen ToC. Una de las guías más usadas por organizaciones del sector social en UK.,"theory of change, community, grants, UK, National Lottery",pendiente
55,Nesta — Standards of Evidence,Nesta,Think tank / Innovación,Metodologia,Evidencia de impacto social,UK,2021,EN,Marco de evidencia,Marco general,https://www.nesta.org.uk/feature/standards-of-evidence/,,Marco de niveles de evidencia de Nesta. Nivel 2 requiere una ToC. Muy usado para evaluar la robustez de la evidencia de programas sociales.,"standards of evidence, theory of change, Nesta, innovation, UK, levels",pendiente
56,Programa PRIME — Improving Mental Healthcare in 5 LMIC Countries,PRIME Consortium / London School of Hygiene,Consorcio académico,Salud mental / Bienestar,Salud mental en LMIC,Ethiopia/India/Nepal/South Africa/Uganda,2012,EN,Protocolo de investigación,Programa específico,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(12)61536-X/fulltext,,Protocolo del programa PRIME con ToC explícita para mejorar salud mental en 5 países de bajos ingresos. Seminal en el campo de global mental health.,"theory of change, mental health, PRIME, LMIC, global health, Africa, Asia",pendiente
57,FAO — Livestock Production Theory of Change,FAO,ONU,Nutricion / Seguridad alimentaria,Producción pecuaria y desarrollo rural,Global,2014,EN,Documento técnico,Programa específico,https://www.fao.org/4/aq554e/aq554e.pdf,https://www.fao.org/4/aq554e/aq554e.pdf,Documento FAO sobre ToC en producción pecuaria con énfasis en comunicación y compromiso de stakeholders. Tres proyectos de producción animal como ilustraciones.,"theory of change, livestock, FAO, agricultural development, stakeholders",pendiente
58,Global Food Security Journal — Theory of Change in Food Systems,Global Food Security Journal / CGIAR,Revista académica,Nutricion / Seguridad alimentaria,Sistemas alimentarios,Global,2021,EN,Paper académico,Marco general,https://www.theoryofchange.org/wp-content/uploads/2021/09/1-s2.0-S2211912420301280-main.pdf,https://www.theoryofchange.org/wp-content/uploads/2021/09/1-s2.0-S2211912420301280-main.pdf,Paper en Global Food Security sobre uso de ToC en investigación de sistemas alimentarios. Revisa aplicaciones y propone marco de buenas prácticas.,"theory of change, food systems, agricultural research, CGIAR, systematic review",pendiente
59,Measuring Value: A Guide to SROI (IFCSIA),International Federation of CSI Associations,Red profesional,SROI / Valoracion social,Metodología SROI,UK/Internacional,2013,EN,Guía metodológica,Marco general,https://ifcsia.org/wp-content/uploads/pdf/publications/Measuring-Value-A-Guide-to-Social-Return-on-Investment.pdf,https://ifcsia.org/wp-content/uploads/pdf/publications/Measuring-Value-A-Guide-to-Social-Return-on-Investment.pdf,Guía SROI de la IFCSIA. Incluye Impact Map como ToC del análisis SROI. Cubre monetización de outcomes y cálculo del ratio.,"SROI, impact map, theory of change, social return, IFCSIA",pendiente
60,Open Society Foundations — Latin America Theory of Change,Open Society Foundations,Fundación,Desarrollo Internacional,Derechos y democracia en América Latina,América Latina,2023,EN,Marco estratégico,Institucional / organizacional,https://www.opensocietyfoundations.org/what-we-do/regions/latin-america-and-the-caribbean,,"Marco estratégico de Open Society para América Latina. Incluye ToC sobre fortalecimiento de democracia, derechos humanos y equidad en la región.","theory of change, Open Society, Latin America, democracy, human rights",pendiente
61,DFID Review of the use of Theory of Change in International Development,DFID (UK Department for International Development),Gobierno UK,Metodologia,Revisión crítica del campo,Global,2012,EN,Revisión de literatura,Marco general,https://www.gov.uk/research-for-development-outputs/review-of-the-use-of-theory-of-change-in-international-development-review-report,https://www.theoryofchange.org/pdf/DFID_ToC_Review_VogelV7.pdf,"Revisión seminal de Isabel Vogel sobre el uso de ToC en desarrollo internacional. 40 entrevistas con 25 organizaciones. Identifica 9 temas clave, buenos usos y errores frecuentes. Incluye ejemplos de Ethiopia, India y DRC.","theory of change, DFID, Vogel, review, international development, critique",pendiente
62,DFID Appendix 3: Examples of Theories of Change,DFID (UK Department for International Development),Gobierno UK,Metodologia,Ejemplos reales por sector,Ethiopia/India/DRC,2012,EN,Apéndice con ejemplos,Programa específico,https://assets.publishing.service.gov.uk/media/57a08a66ed915d622c000703/Appendix_3_ToC_Examples.pdf,https://assets.publishing.service.gov.uk/media/57a08a66ed915d622c000703/Appendix_3_ToC_Examples.pdf,"Apéndice 3 del DFID ToC Review con ejemplos reales de ToC: mejora de educación en Etiopía, crecimiento inclusivo en estados pobres de India (PSIG), y carreteras en DRC. Tres ToCs completas con cadena causal y supuestos.","theory of change, examples, Ethiopia, India, DRC, education, infrastructure, DFID",pendiente
63,BOND — Theory of Change for Organisations,BOND (British Overseas NGOs for Development),Red de ONG UK,Metodologia,ToC organizacional,UK/Global,2022,EN,Guía práctica,Institucional / organizacional,https://www.bond.org.uk/wp-content/uploads/2022/03/organisational_theory_of_change_bond_10.pdf,https://www.bond.org.uk/wp-content/uploads/2022/03/organisational_theory_of_change_bond_10.pdf,Guía de BOND para desarrollar una ToC organizacional (no solo de programa). Conecta la contribución de la organización al cambio más amplio. 5 consejos clave para ToC de calidad.,"theory of change, organisational, BOND, NGO, UK, strategy",pendiente
64,BOND — Theory of Change for Advocacy and Campaigns,BOND (British Overseas NGOs for Development),Red de ONG UK,Gobernanza,Advocacy y campañas,UK/Global,2020,EN,Guía práctica,Programa específico,https://www.bond.org.uk/resources/theory-of-change-for-advocacy-and-campaigns/,,Guía de BOND para ToC en advocacy y campañas. Introduce preguntas estratégicas específicas para influir en política pública. Diferencia ToC de advocacy vs. ToC de programa de servicios.,"theory of change, advocacy, campaigns, policy influence, BOND",sin_url
65,3ie — Theory-Based Impact Evaluation: Principles and Practice,3ie (International Initiative for Impact Evaluation),Think tank evaluación,Metodologia,Evaluación de impacto basada en teoría,Global,2012,EN,Working paper,Marco general,https://www.3ieimpact.org/sites/default/files/2017-11/Working_Paper_3.pdf,https://www.3ieimpact.org/sites/default/files/2017-11/Working_Paper_3.pdf,Working Paper 3 de 3ie sobre evaluación de impacto basada en teoría. Howard White explica cómo la ToC fundamenta el diseño de evaluaciones rigurosas. Muy citado en literatura de impact evaluation.,"theory of change, theory-based evaluation, 3ie, Howard White, impact evaluation",pendiente
66,IPA Goldilocks Deep Dive — Guiding Your Program to Build a Theory of Change,IPA (Innovations for Poverty Action),Think tank evaluación,Metodologia,Guía práctica para programas,Global Sur,2019,EN,Guía práctica,Programa específico,https://poverty-action.org/publication/guiding-your-program-build-theory-change,https://poverty-action.org/sites/default/files/publications/Goldilocks-Deep-Dive-Guiding-Your-Program-to-Build-Theory-of-Change_1.pdf,Guía práctica de IPA para que programas de desarrollo construyan su ToC como fundamento de su estrategia M&E. Parte de la serie Goldilocks. Conecta ToC con diseño right-fit de evaluaciones.,"theory of change, IPA, Goldilocks, program design, M&E, poverty action",pendiente
67,World Bank IEG — Theory of Change (Independent Evaluation Group),World Bank / IEG,Organismo multilateral,Metodologia,Evaluación institucional,Global,2021,EN,Documento institucional,Institucional / organizacional,https://ieg.worldbankgroup.org/evaluation-international-development/chapter-3-guidance-notes-evaluation-approaches-and-methods,https://ieg.worldbankgroup.org/sites/default/files/Data/More-on-IEG/IEG_Theory_of_Change.pdf,ToC del Grupo de Evaluación Independiente del Banco Mundial. Mapea cómo la evaluación contribuye a la efectividad del desarrollo. Incluye cadena de resultados desde actividades hasta impacto sistémico.,"theory of change, World Bank, IEG, evaluation, development effectiveness",pendiente
68,GEF STAP — Theory of Change: A Short Literature Review,GEF STAP (Global Environment Facility Scientific and Technical Advisory Panel),Organismo multilateral,Clima / Medio ambiente,Fondos climáticos y ambientales,Global,2019,EN,Revisión de literatura,Marco general,https://www.thegef.org/sites/default/files/council-meeting-documents/EN_GEF_STAP_C.57_Inf.05_Theory%20of%20Change_%20A%20Short%20Literature%20Review%20and%20Annotated%20Bibliography.pdf,https://www.thegef.org/sites/default/files/council-meeting-documents/EN_GEF_STAP_C.57_Inf.05_Theory%20of%20Change_%20A%20Short%20Literature%20Review%20and%20Annotated%20Bibliography.pdf,Revisión de literatura y bibliografía anotada sobre ToC del GEF. Enfocada en programas de medio ambiente y cambio climático. Incluye discusión sobre ToC sistémica para cambio ambiental.,"theory of change, GEF, environment, climate, literature review, annotated bibliography",pendiente
69,ADB — Impact Evaluation of Development Interventions: A Practical Guide,Asian Development Bank (ADB),Organismo multilateral,Metodologia,Evaluación de impacto,Asia/Pacífico,2018,EN,Guía metodológica,Marco general,https://www.adb.org/sites/default/files/publication/392376/impact-evaluation-development-interventions-guide.pdf,https://www.adb.org/sites/default/files/publication/392376/impact-evaluation-development-interventions-guide.pdf,Guía práctica del ADB para evaluación de impacto. Incluye sección completa sobre ToC como base para diseño de evaluaciones. Ejemplos del contexto Asia-Pacífico.,"theory of change, impact evaluation, ADB, Asia, development, guide",pendiente
70,As You Sow — Theory of Change: Corporate Responsibility,As You Sow Foundation,Fundación / Advocacy corporativo,RSE / Empresa y sociedad,Responsabilidad corporativa / ESG,USA,2023,EN,Marco estratégico,Institucional / organizacional,https://www.asyousow.org/about-us/theory-of-change,,ToC de As You Sow para incrementar la responsabilidad corporativa y reducir el riesgo para accionistas. Primer ejemplo de ToC desde el sector privado/ESG. Conecta shareholders activism con cambio corporativo.,"theory of change, corporate responsibility, ESG, shareholders, As You Sow, private sector",sin_url
71,3ie — Programme Theory and Theory of Change Analysis (Education/Social Development),3ie (International Initiative for Impact Evaluation),Think tank evaluación,Educacion,Teoría del programa en educación,Global,2018,EN,Paper técnico,Marco general,https://www.3ieimpact.org/sites/default/files/2018-08/4_developing_program_theories_for_education_and_social_development_interventions.pdf,https://www.3ieimpact.org/sites/default/files/2018-08/4_developing_program_theories_for_education_and_social_development_interventions.pdf,Paper de 3ie sobre desarrollo de teorías de programa para intervenciones en educación y desarrollo social. Conecta teoría del programa con ToC y diseño de evaluaciones rigurosas.,"theory of change, programme theory, education, social development, 3ie, evaluation design",pendiente
72,Theory of Change Tool for Strategic Planning: Report on Early Experiences,The Wallace Foundation,Fundación,Metodologia,Planificación estratégica,USA,2023,EN,Informe de investigación,Marco general,https://wallacefoundation.org/report/theory-change-tool-strategic-planning,https://wallacefoundation.org/sites/default/files/2023-10/theory-of-change-tool-for-strategic-planning-report-on-early-experiences.pdf,Informe sobre las experiencias tempranas usando ToC como herramienta de planificación estratégica. Basado en implementación real de la Wallace Foundation con organizaciones grantees.,"theory of change, strategic planning, foundation, grantmaking, learning",pendiente
73,Theory of Change (2024 Guide),INTRAC,Think tank / ONG de capacidad,Metodologia,Desarrollo de capacidades,Global,2024,EN,Guía metodológica,Marco general,https://www.intrac.org/resources/theory-of-change/,https://www.intrac.org/app/uploads/2025/06/Theory-of-Change.pdf,"Guía actualizada de INTRAC sobre Teoría del Cambio para organizaciones de desarrollo. Cubre construcción, uso en M&E, y adaptación a contextos de incertidumbre.","theory of change, capacity building, NGO, M&E, INTRAC",pendiente
74,Theory of Change Narrative 2023,Global Fund for Children,Fundación internacional,Infancia / Derechos,Desarrollo infantil,Global,2023,EN,Documento institucional,Organizacional,https://globalfundforchildren.org/theory-of-change/,https://globalfundforchildren.org/wp-content/uploads/2023/11/Theory-of-Change-Narrative-2023.pdf,ToC narrativa de la Global Fund for Children para su estrategia 2023. Define cómo el apoyo a organizaciones locales genera cambio sistémico para la infancia.,"children, rights, local organizations, systems change, theory of change",pendiente
75,Theory of Change — Explanation and Application,Global Schools Forum,Red / Alianza,Educacion,Educación básica,Global,2023,EN,Guía práctica,Programa específico,https://globalschoolsforum.org/,https://globalschoolsforum.org/sites/default/files/2023-12/theory_of_change_-_explanation.pdf,"Explicación práctica de ToC para organizaciones educativas, parte del Scale Toolkit 2023. Incluye ejemplos de aplicación en contextos de educación a escala.","education, theory of change, scale, schools, toolkit",pendiente
76,"Theory of Change: A Practical Tool For Action, Results and Learning",ActKnowledge / AECF,Think tank,Metodologia,Guía práctica,USA,2004,EN,Manual práctico,Marco general,https://www.theoryofchange.org/resources/,https://www.theoryofchange.org/wp-content/uploads/toco_library/pdf/ToCBasics.pdf,"Manual de ActKnowledge con los fundamentos de ToC: precondiciones, outcomes pathway, supuestos, indicadores. Es el documento seminal de la escuela de ActKnowledge.","theory of change, ActKnowledge, outcomes pathway, preconditions, assumptions",pendiente
77,UNICEF India WASH Programme — Theory of Change 2017,UNICEF India,ONU,Agua y Saneamiento (WASH),WASH programático,India,2017,EN,Documento de programa,Programa específico,https://open.unicef.org/,https://open.unicef.org/sites/transparency/files/documents/2017%20India%20PSN%20WASH%20TOC.pdf,ToC del programa WASH de UNICEF India para el periodo 2017-2021. Muestra cadena de resultados para acceso a agua potable y saneamiento en India.,"WASH, water, sanitation, hygiene, India, UNICEF, programme",pendiente
78,UNICEF Burundi WASH Programme — Theory of Change 2018,UNICEF Burundi,ONU,Agua y Saneamiento (WASH),WASH programático,Burundi,2018,EN,Documento de programa,Programa específico,https://open.unicef.org/,https://open.unicef.org/sites/transparency/files/documents/2018%20Burundi%20PSN%20WASH%20TOC.pdf,ToC del programa WASH de UNICEF Burundi para el periodo 2018-2021. Cadena de resultados para acceso a agua y saneamiento en contexto africano post-conflicto.,"WASH, water, sanitation, Burundi, Africa, UNICEF, post-conflict",pendiente
79,UN Women Theory of Change for the Strategic Plan 2022-2025,UN Women,ONU,Genero / Igualdad,Empoderamiento de la mujer,Global,2021,EN,Documento estratégico,Organizacional,https://www.unwomen.org/en/digital-library/publications/2021/09/un-women-theory-of-change,https://www.unwomen.org/sites/default/files/Headquarters/Attachments/Sections/Executive%20Board/2017/Annual%20Session%202017/AAA%20Theory%20of%20Change%20%20UN%20Women%20Strategic%20Plan%20final%20draft.pdf,ToC institucional de UN Women para su Plan Estratégico. Define cómo la organización contribuye a la igualdad de género y empoderamiento de las mujeres a nivel global.,"gender equality, women empowerment, UN Women, strategic plan, theory of change",pendiente
80,Capturing Change in Women's Realities,AWID (Association for Women's Rights in Development),Red / ONG internacional,Genero / Igualdad,Derechos de la mujer,Global,2012,EN,Guía metodológica,Marco general,https://www.awid.org/publications/capturing-change-womens-realities,https://www.awid.org/sites/default/files/atoms/files/capturing_change_in_womens_realities.pdf,Guía para capturar el cambio en organizaciones de derechos de la mujer. Propone un enfoque feminista de ToC que reconoce la complejidad del cambio social y de género.,"feminist theory of change, gender, women rights, AWID, social change, complexity",pendiente
81,Applying a Theory of Change Approach to the Evaluation of Comprehensive Community Initiatives,Aspen Institute / ActKnowledge,Think tank,Metodologia,Evaluación de iniciativas comunitarias,USA,2004,EN,Paper académico,Marco general,https://www.theoryofchange.org/,https://cnxus.org/wp-content/uploads/2022/04/08071320ApplyingTheoryofChangeApproach.pdf,Documento fundacional de Connell y Kubisch (Aspen Institute) que establece el enfoque de ToC para evaluación de iniciativas comunitarias comprehensivas (CCIs).,"community initiatives, evaluation, theory of change, Connell, Kubisch, Aspen Institute",pendiente
82,IPA Goldilocks Guide — Theory of Change Deep Dive (v2),IPA (Innovations for Poverty Action),Think tank / investigación,Metodologia,Diseño de programas,Global,2019,EN,Guía metodológica,Marco general,https://poverty-action.org/goldilocks,https://poverty-action.org/sites/default/files/publications/Goldilocks-Deep-Dive-Guiding-Your-Program-to-Build-Theory-of-Change_2.pdf,"Deep dive de la Goldilocks Challenge (IPA) sobre cómo construir ToC para programas de desarrollo. Incluye preguntas de diagnóstico, ejercicios y ejemplos.","theory of change, Goldilocks, IPA, program design, poverty action, development",pendiente
83,CGAP Graduation Approach Guide,CGAP (Consultative Group to Assist the Poor),Consorcio internacional,Desarrollo economico / Pobreza,Graduación de la pobreza extrema,Global,2015,EN,Guía de programa,Programa específico,https://www.cgap.org/research/publication/graduation-program-guide,https://www.cgap.org/sites/default/files/graduation_guide_final.pdf,Guía completa del Graduation Approach — el modelo de intervención para graduación de pobreza extrema implementado en 40+ países. Incluye cadena de resultados y supuestos.,"graduation approach, extreme poverty, CGAP, BRAC, livelihoods, social protection",pendiente
84,Better Evaluation — Theory of Change (Framework Guide),BetterEvaluation,Red de conocimiento,Metodologia,Evaluación de programas,Global,2020,EN,Guía metodológica,Marco general,https://www.betterevaluation.org/methods-approaches/approaches/theory-of-change,https://www.betterevaluation.org/sites/default/files/Theory_of_Change_Framework.pdf,Marco de referencia de BetterEvaluation para construcción y uso de ToC en evaluación de programas. Compara diferentes escuelas de pensamiento sobre ToC.,"theory of change, evaluation, BetterEvaluation, framework, programme evaluation",pendiente
85,Oxfam Theory of Change — Influencing for Impact,Oxfam GB,ONG internacional,Desarrollo Internacional,Advocacy e influencia,Global,2012,EN,Documento estratégico,Organizacional,https://policy-practice.oxfam.org/resources/theory-of-change-228537/,https://policy-practice.oxfam.org/resources/theory-of-change-228537/,ToC institucional de Oxfam GB centrada en advocacy e influencia de políticas. Explica cómo el trabajo de incidencia genera cambios sistémicos.,"Oxfam, advocacy, influencing, theory of change, policy change, systems",pendiente
86,Comic Relief Theory of Change Guide,Comic Relief / Sport Relief,Fundación,Metodologia,Guía para grantees,UK,2018,EN,Guía práctica,Marco general,https://www.comicrelief.com/your-impact,https://www.comicrelief.com/sites/default/files/2021-01/toc_guide_comic_relief.pdf,"Guía de Comic Relief para que sus grantees construyan ToC robustas. Incluye plantillas, preguntas orientadoras y ejemplos del sector de bienestar infantil.","Comic Relief, theory of change, grants, children wellbeing, guide",pendiente
87,Camfed Theory of Change — Girls Education Africa,Camfed (Campaign for Female Education),ONG internacional,Educacion,Educación de niñas en África,Africa subsahariana,2021,EN,Documento de programa,Organizacional,https://camfed.org/our-approach/theory-of-change/,https://camfed.org/media/3014/camfed-theory-of-change.pdf,ToC de Camfed para educación de niñas en Africa subsahariana. Modelo sistémico que parte de educación de la niña y genera cambio generacional en comunidades.,"girls education, Africa, theory of change, Camfed, gender, secondary education",pendiente
88,Pathways to Change — ToC for Health Systems Strengthening,PATH,ONG internacional de salud,Salud,Fortalecimiento de sistemas de salud,Global,2019,EN,Documento de programa,Programa específico,https://www.path.org/resources/theory-of-change/,https://www.path.org/resources/pathways-to-change-theory-of-change/,ToC de PATH para el fortalecimiento de sistemas de salud. Muestra cómo la innovación sanitaria y tecnología médica mejora sistemas en países de ingresos medios y bajos.,"health systems, strengthening, PATH, innovation, theory of change, global health",pendiente
89,Homeless Link — Theory of Change for Housing and Support Services,Homeless Link / St Mungo's,ONG,Vivienda / Personas sin hogar,Servicios de apoyo a personas sin hogar,UK,2016,EN,Documento de programa,Programa específico,https://www.homeless.org.uk/knowledge-hub/understanding-theory-of-change,https://www.homeless.org.uk/sites/default/files/site-attachments/Theory%20of%20Change%20guide.pdf,ToC para servicios de apoyo a personas sin hogar en UK. Incluye cadena causal desde intervención de emergencia hasta reintegración sostenida.,"homelessness, housing, support services, theory of change, UK, social care",pendiente
90,Harambee Youth Employment Accelerator — Theory of Change 2021-2026,Harambee Youth Employment Accelerator,Empresa social / ONG,Empleo / Juventud,Empleo juvenil en Africa,Sudáfrica,2021,EN,Documento estratégico,Organizacional,https://www.harambee.co.za/,https://www.harambee.co.za/wp-content/uploads/2021/09/Harambee-Overview-2021-202650.pdf,Visión estratégica 2021-2026 de Harambee Youth Employment Accelerator en Sudáfrica. Modelo para conectar jóvenes desempleados con el mercado laboral formal.,"youth employment, South Africa, theory of change, labour market, Harambee, workforce",pendiente
91,Theory of Change — Rainforest Alliance Sustainable Agriculture,Rainforest Alliance,ONG internacional,Medio ambiente / Sostenibilidad,Agricultura sostenible,Global,2020,EN,Documento estratégico,Organizacional,https://www.rainforest-alliance.org/insights/our-theory-of-change/,https://www.rainforest-alliance.org/wp-content/uploads/2020/06/rainforest-alliance-theory-of-change.pdf,ToC de Rainforest Alliance para la agricultura sostenible y conservación de bosques. Explica cómo la certificación genera cambios en comportamiento de productores y compradores.,"rainforest, sustainable agriculture, certification, conservation, theory of change",pendiente
92,Making All Voices Count — Theory of Change,Making All Voices Count / IDS,Alianza / Think tank,Gobernanza,Ciudadanía y rendición de cuentas,Africa / Asia,2014,EN,Documento de programa,Programa específico,https://www.makingallvoicescount.org/about/theory-of-change/,https://opendocs.ids.ac.uk/opendocs/bitstream/handle/20.500.12413/4411/MAVC%20Theory%20of%20Change.pdf,"ToC del programa Making All Voices Count (MAVC) para ciudadanía activa y rendición de cuentas. Financiado por DFID, Sida, BM/BMZ y USAID. Sector de gobernanza.","governance, citizen voice, accountability, theory of change, MAVC, IDS",pendiente
93,Education Outcomes Fund — Theory of Change for Results-Based Financing in Education,Education Outcomes Fund (EOF),Fondo internacional,Educacion,Financiación por resultados,Africa / Asia,2020,EN,Documento de programa,Marco general,https://educationoutcomesfund.org/approach/,https://educationoutcomesfund.org/wp-content/uploads/2020/06/EOF-Theory-of-Change.pdf,"ToC del EOF para financiación por resultados en educación. Explica cómo el pago por resultados incentiva mejoras en acceso, aprendizaje y empoderamiento.","results-based financing, education, outcomes, theory of change, EOF, impact bonds",pendiente
94,Acumen Theory of Change — Patient Capital for Social Enterprise,Acumen,Fundación / inversión de impacto,SROI / Valoracion social,Capital paciente / Empresa social,Global,2019,EN,Documento estratégico,Organizacional,https://acumen.org/about/theory-of-change/,https://acumen.org/wp-content/uploads/2019/10/Acumen-Theory-of-Change.pdf,ToC de Acumen para inversión en empresas sociales. Explica cómo el capital paciente + apoyo técnico genera dignidad y prosperidad para poblaciones de la base de la pirámide.,"patient capital, social enterprise, Acumen, impact investing, theory of change, BOP",pendiente
95,Teach For All — Theory of Change Global Network,Teach For All,Red internacional,Educacion,Liderazgo docente,Global,2020,EN,Documento estratégico,Organizacional,https://teachforall.org/theory-of-change,https://teachforall.org/sites/default/files/Teach-For-All-Theory-of-Change.pdf,ToC de Teach For All para su red global de organizaciones de liderazgo docente. Explica cómo profesores comprometidos generan cambio educativo y sistémico.,"teaching, education, leadership, Teach For All, network, theory of change",pendiente
96,IRC Theory of Change — Humanitarian Response and Recovery,International Rescue Committee (IRC),ONG internacional,Accion humanitaria,Respuesta humanitaria y recuperación,Global,2018,EN,Documento de programa,Organizacional,https://www.rescue.org/resource/irc-theory-change,https://www.rescue.org/sites/default/files/document/2019/irc-theory-of-change.pdf,"ToC del IRC para respuesta humanitaria, recuperación y desarrollo en contextos de crisis. Integra respuesta de emergencia con resiliencia a largo plazo.","humanitarian, IRC, refugee, crisis, theory of change, recovery, resilience",pendiente
97,Climate Policy Initiative — Theory of Change for Climate Finance,Climate Policy Initiative (CPI),Think tank,Clima / Medio ambiente,Finanzas climáticas,Global,2020,EN,Documento de programa,Marco general,https://climatepolicyinitiative.org/,https://climatepolicyinitiative.org/wp-content/uploads/2020/10/CPI-Theory-of-Change.pdf,ToC de CPI para la movilización de finanzas climáticas. Explica cómo la investigación y análisis de políticas genera cambios en flujos de capital hacia soluciones climáticas.,"climate finance, climate change, theory of change, CPI, policy, investment",pendiente
98,Teoria del Cambio — PNUD Colombia Programa de Paz,PNUD Colombia,ONU,Paz y reconciliacion,Construcción de paz post-conflicto,Colombia,2020,ES,Documento de programa,Programa específico,https://www.undp.org/es/colombia/programas-y-proyectos/construccion-de-paz,https://www.undp.org/sites/g/files/zskgke326/files/2022-04/teoria_cambio_paz_colombia.pdf,ToC del programa de construcción de paz del PNUD Colombia. Articula cómo las intervenciones en territorios afectados por el conflicto contribuyen a la paz sostenible.,"paz, conflicto, Colombia, PNUD, teoria del cambio, posconflicto",pendiente
99,Teoria del Cambio — CEPAL Desarrollo Productivo Inclusivo,CEPAL,ONU / Comisión regional,Desarrollo economico / Pobreza,Desarrollo productivo,America Latina,2021,ES,Documento técnico,Marco general,https://www.cepal.org/es/publicaciones,https://repositorio.cepal.org/bitstream/handle/11362/47304/S2100413_es.pdf,Marco conceptual de CEPAL para el desarrollo productivo inclusivo en América Latina. Incluye cadena de resultados y condiciones para transformación estructural.,"desarrollo productivo, inclusivo, CEPAL, America Latina, transformacion estructural",pendiente
100,Open Society Foundations — Theory of Change for Democratic Governance,Open Society Foundations (OSF),Fundación,Gobernanza,Democracia y derechos humanos,Global,2019,EN,Documento estratégico,Organizacional,https://www.opensocietyfoundations.org/,https://www.opensocietyfoundations.org/uploads/theory-of-change-democratic-governance.pdf,"ToC de OSF para la gobernanza democrática. Explica cómo el apoyo a la sociedad civil, medios independientes y litigio estratégico contribuye a sistemas más abiertos.","democracy, governance, Open Society, theory of change, civil society, human rights",pendiente
101,Theory of Change — Early Childhood Development (ECD) Programme,Bernard van Leer Foundation,Fundación,Infancia / Derechos,Desarrollo en la primera infancia,Global,2020,EN,Documento de programa,Programa específico,https://bernardvanleer.org/our-approach/theory-of-change/,https://bernardvanleer.org/app/uploads/2020/03/BvLF-Theory-of-Change.pdf,ToC de Bernard van Leer Foundation para programas de desarrollo en la primera infancia. Muestra cómo las intervenciones en los primeros 1000 días generan beneficios de largo plazo.,"early childhood, ECD, development, theory of change, first 1000 days, Bernard van Leer",pendiente
102,WFP Theory of Change — Zero Hunger Strategic Review,World Food Programme (WFP),ONU,Nutricion / Seguridad alimentaria,Hambre cero,Global,2020,EN,Documento estratégico,Organizacional,https://www.wfp.org/publications/wfp-theory-change,https://www.wfp.org/sites/default/files/2020-02/wfp_theory_of_change.pdf,"ToC del WFP para alcanzar el hambre cero. Integra asistencia humanitaria alimentaria con resiliencia, desarrollo rural y fortalecimiento de sistemas alimentarios.","hunger, food security, WFP, zero hunger, theory of change, SDG2",pendiente
103,Teoria del Cambio — Fundacion FEMSA Agua y Saneamiento,Fundacion FEMSA,Fundacion empresarial,Agua y Saneamiento (WASH),Agua en Mexico y AL,Mexico / America Latina,2021,ES,Documento de programa,Programa específico,https://www.femsa.com/es/responsabilidad-social/fundacion-femsa/,https://www.fundacionfemsa.org/download/teoria-del-cambio-agua.pdf,Teoria del cambio de la Fundacion FEMSA para sus programas de agua y saneamiento en Mexico y America Latina.,"agua, saneamiento, Mexico, Fundacion FEMSA, teoria del cambio, WASH",pendiente
